"Step","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_SimpleGA/generations_2000_strategy_SimpleGA_popsize_512_es_kws_{'sigma_init': 0.5, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"933","-62","-62","-62"
"934","-63","-63","-63"
"935","-59","-59","-59"
"936","-63","-63","-63"
"937","-63","-63","-63"
"938","-61","-61","-61"
"939","-62","-62","-62"
"940","-61","-61","-61"
"941","-63","-63","-63"
"942","-64","-64","-64"
"943","-61","-61","-61"
"944","-69","-69","-69"
"945","-65","-65","-65"
"946","-62","-62","-62"
"947","-62","-62","-62"
"948","-65","-65","-65"
"949","-67","-67","-67"
"950","-62","-62","-62"
"951","-64","-64","-64"
"952","-62","-62","-62"
"953","-62","-62","-62"
"954","-62","-62","-62"
"955","-63","-63","-63"
"956","-63","-63","-63"
"957","-58","-58","-58"
"958","-64","-64","-64"
"959","-62","-62","-62"
"960","-62","-62","-62"
"961","-63","-63","-63"
"962","-59","-59","-59"
"963","-64","-64","-64"
"964","-61","-61","-61"
"965","-62","-62","-62"
"966","-63","-63","-63"
