"Step","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MIN","evosax_CMA_ES/generations_2000_strategy_CMA_ES_popsize_512_es_kws_{'sigma_init': 0.1, 'elite_ratio': 0.5} - current_best_fitness__MAX"
"789","-63","-63","-63"
"790","-60","-60","-60"
"791","-61","-61","-61"
"792","-68","-68","-68"
"793","-61","-61","-61"
"794","-62","-62","-62"
"795","-61","-61","-61"
"796","-68","-68","-68"
"797","-61","-61","-61"
"798","-60","-60","-60"
"799","-65","-65","-65"
"800","-200","-200","-200"
"801","-200","-200","-200"
"802","-96","-96","-96"
"803","-123","-123","-123"
"804","-75","-75","-75"
"805","-63","-63","-63"
"806","-161","-161","-161"
"807","-67","-67","-67"
"808","-65","-65","-65"
"809","-74","-74","-74"
"810","-64","-64","-64"
"811","-64","-64","-64"
"812","-65","-65","-65"
"813","-63","-63","-63"
"814","-64","-64","-64"
"815","-64","-64","-64"
"816","-64","-64","-64"
"817","-63","-63","-63"
"818","-64","-64","-64"
"819","-63","-63","-63"
"820","-64","-64","-64"
"821","-63","-63","-63"
"822","-64","-64","-64"
"823","-64","-64","-64"
"824","-64","-64","-64"
"825","-63","-63","-63"
"826","-64","-64","-64"
"827","-65","-65","-65"
"828","-64","-64","-64"
"829","-64","-64","-64"
"830","-63","-63","-63"
"831","-63","-63","-63"
"832","-64","-64","-64"
"833","-64","-64","-64"
"834","-64","-64","-64"
"835","-63","-63","-63"
"836","-64","-64","-64"
"837","-64","-64","-64"
"838","-64","-64","-64"
"839","-64","-64","-64"
"840","-64","-64","-64"
"841","-64","-64","-64"
"842","-64","-64","-64"
"843","-63","-63","-63"
"844","-63","-63","-63"
"845","-64","-64","-64"
"846","-64","-64","-64"
"847","-63","-63","-63"
"848","-63","-63","-63"
"849","-64","-64","-64"
"850","-65","-65","-65"
"851","-65","-65","-65"
